trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.78068E+19,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[603.2625923567053],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[1],[],"[('Group 5', 254.72357177734375)]","{0: [(117.293803207732, 197.83133936404), (75.7726501552445, 155.284184814181), (172.94172921498, 225.581441362929), (183.091142454686, 232.994469902666), (189.713678528426, 225.371455398809), (189.705393100416, 219.250127680865), (106.908533656079, 177.174484954989)]}","{0: [(119.023183528505, 193.614473300444), (71.4475968179184, 151.451155965555), (183.091142454686, 232.994469902666), (189.713678528426, 225.371455398809), (189.705393100416, 219.250127680865), (184.02600798652, 204.745313423075), (99.1967862230353, 174.41740210818)]}"
2,1.05414E+19,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[599.7643846746726],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[1],[],"[('Group 5', 273.3330457210541)]","{0: [(117.801392295945, 193.435513575489), (80.7602843691404, 164.705796265946), (114.520037906709, 145.664949761543), (118.28422573203, 144.001597797774), (182.055553435497, 231.240025612152), (188.432686205844, 239.96386839359), (189.674388702319, 227.183411095755), (190.091788973817, 219.868964584014), (110.196390139044, 176.765669762936)]}","{0: [(119.581531525539, 188.779064933038), (76.8781596535005, 162.298469399237), (118.28422573203, 144.001597797774), (118.28422573203, 144.001597797774), (188.432686205844, 239.96386839359), (189.674388702319, 227.183411095755), (190.091788973817, 219.868964584014), (185.430552592761, 204.261187080455), (102.672973893672, 174.016118031184)]}"
3,1.07659E+18,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[533.4650387564326],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[1],[],"[('Group 5', 242.30725646018982)]","{0: [(122.86728379238, 188.485898247042), (81.9374664608384, 161.330585234699), (114.547223722719, 148.064170335434), (118.240364906015, 146.957567873878), (172.758839373849, 216.634908793051), (85.739531035317, 142.585447557879), (171.734655062661, 234.470576364139)]}","{0: [(125.154012171618, 183.334488071746), (77.6158118897604, 159.130194950994), (118.240364906015, 146.957567873878), (118.240364906015, 146.957567873878), (178.210686820632, 223.602642884968), (76.4924154567855, 134.48372802517), (181.258879023248, 244.469261198036)]}"
4,1.49322E+19,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[593.4496104019847],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],[],"[('Group 5', 301.4318244457245)]","{0: [(114.524588520423, 190.828540706661), (67.4206462695895, 120.860324284199), (163.570656907268, 214.647766784876), (173.671221982065, 224.677021739875), (82.4084925906743, 122.686039647799), (175.593044389426, 225.668981106819), (185.824126863215, 236.987185073642), (188.749383123988, 225.848007511099), (190.290918769457, 219.925463265295), (117.000280575229, 187.180102179851)]}","{0: [(115.977047372466, 185.911394777327), (62.5650061593018, 114.355217234886), (173.671221982065, 224.677021739875), (173.671221982065, 224.677021739875), (73.2822196515352, 112.486941438591), (185.824126863215, 236.987185073642), (188.749383123988, 225.848007511099), (190.290918769457, 219.925463265295), (185.280014666168, 204.32603520663), (110.172307166135, 185.465508877173)]}"
5,1.59971E+18,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[638.7476775071328],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],[],"[('Group 5', 314.86437606811523)]","{0: [(121.464424720298, 188.294706034157), (84.0831998550465, 160.97123568706), (117.12389033925, 142.949926349509), (179.104055232101, 230.21842893093), (184.932137149207, 239.103339341497), (189.793950557152, 224.807473908218), (190.210459235517, 220.232815857037), (119.045412373449, 176.188652797258), (112.389356583088, 173.081600325626), (65.9035245277932, 123.162799561175)]}","{0: [(123.610867192328, 183.124176637573), (80.1304331213184, 158.755941592009), (120.823236061043, 141.369324825259), (184.932137149207, 239.103339341497), (189.793950557152, 224.807473908218), (190.210459235517, 220.232815857037), (185.605970277062, 207.259177513581), (112.389356583088, 173.081600325626), (112.389356583088, 173.081600325626), (61.2549413222637, 118.17091948473)]}"
1,1.22152E+19,['Group 5'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],['Group 5'],"[('Group 5', 64.14718174934387)]","{0: [(180.523375938481, 235.67829337086), (392.749332038991, 160.198705903246), (404.473358588352, 155.889344519956), (461.606283240583, 90.3457220838234), (690.714574381122, 123.865855262304), (713.054074248654, 127.873304804513), (700.77433986606, 120.723245727455)]}","{0: [(188.57571353233, 235.246122707946), (404.473358588352, 155.889344519956), (404.473358588352, 155.889344519956), (467.319575705806, 83.7913598402101), (713.054074248654, 127.873304804513), (700.77433986606, 120.723245727455), (699.9841578777181, 120.0177436176451)]}"
2,1.17194E+19,['Group 5'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 5'],"[('Group 5', 30.65337562561035)]","{0: [(185.437426697593, 238.845479939654), (421.588436733593, 248.453501430134), (662.069579435129, 216.697160219632), (699.888400087901, 124.00048532277), (701.493077993529, 115.058104718685), (700.13663363161, 119.829225755155)]}","{0: [(193.981169367353, 238.730027933619), (444.349163470218, 249.425848779785), (683.841621031621, 213.424291363616), (701.493077993529, 115.058104718685), (700.13663363161, 119.829225755155), (699.9950239722477, 119.99576894377476)]}"
3,9.88697E+17,['Group 5'],maps/g1/tournament.json,[25],[5],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 5'],"[('Group 5', 30.87169647216797)]","{0: [(186.724090886546, 239.630482264043), (407.371793305293, 241.740099169197), (641.469010944937, 244.455244106241), (699.422939942131, 135.923925680592), (703.089335958784, 125.045788957336)]}","{0: [(195.396499975201, 239.593530490447), (428.569322638303, 241.954756037072), (662.7589797756, 244.705292913158), (703.089335958784, 125.045788957336), (699.973831644432, 120.0162096309414)]}"
4,6.72008E+18,['Group 5'],maps/g1/tournament.json,[25],[8],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[2],[0],[0],['Group 5'],"[('Group 5', 32.303996562957764)]","{0: [(185.286984263543, 234.414732500056), (193.815682689897, 233.856205750062), (193.815682689897, 233.856205750062), (414.28754982761, 245.587407824969), (674.561735825645, 235.563972565559), (701.676989705874, 123.62072624929), (702.006245101054, 112.538367172332), (699.68117860733, 120.51183624427)]}","{0: [(193.815682689897, 233.856205750062), (193.815682689897, 233.856205750062), (193.815682689897, 233.856205750062), (436.334736541382, 246.76052803246), (698.384435754071, 234.444317018869), (702.006245101054, 112.538367172332), (699.68117860733, 120.51183624427), (700.0030570047901, 120.00192973375032)]}"
5,1.89141E+18,['Group 5'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],['Group 5'],"[('Group 5', 32.15930414199829)]","{0: [(186.190612960545, 242.231735640311), (194.809674256599, 242.454909204342), (403.975605798509, 243.701098979809), (633.554557653099, 246.512263050408), (696.322127904253, 126.669015994883), (700.512261342364, 114.6578258384), (700.168142299407, 120.277191804798)]}","{0: [(194.809674256599, 242.454909204342), (194.809674256599, 242.454909204342), (424.8921989527, 243.825717957356), (654.420793523139, 246.780917559714), (700.512261342364, 114.6578258384), (700.168142299407, 120.277191804798), (700.009662801901, 119.9945813887153)]}"
1,1.19694E+19,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[520.6525015852765],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[1],[],"[('Group 5', 17.26177740097046)]","{0: [(186.103542191386, 245.053341121292)]}","{0: [(194.713896410524, 245.558675233421)]}"
2,4.16581E+18,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[520.725601219802],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[1],[],"[('Group 5', 18.48233985900879)]","{0: [(186.168537513426, 245.589209752951)]}","{0: [(194.785391264768, 246.148130728246)]}"
3,6.81852E+18,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[517.8323093368715],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[1],[],"[('Group 5', 17.002230882644653)]","{0: [(188.811730849983, 245.31695139977)]}","{0: [(197.692903934982, 245.848646539747)]}"
