trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,9.99565E+17,['Group 7'],maps/g4/n.json,[10],[10],['F'],[6.507372143522125],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],[],"[('Group 7', 133.31458067893982)]","{0: [(205.144596737168, 407.125921584827), (306.09608939061, 253.444487844145), (421.584732079186, 124.730257449702), (557.699613900877, 233.195061590015), (613.968132960946, 304.950193856406), (758.643670247296, 283.737522947565), (794.319376665033, 264.730683463539), (855.657944319572, 127.01626902332), (861.435044020848, 113.434895974138), (852.754742888637, 130.872549087103)]}","{0: [(215.870476088619, 400.773328196434), (315.118650720809, 238.711603808916), (432.231340215024, 113.332122813781), (570.246441269462, 245.181355467638), (618.340302130094, 310.927077695283), (758.643670247296, 283.737522947565), (797.886947306807, 262.829999515136), (861.435044020848, 113.434895974138), (852.754742888637, 130.872549087103), (859.021759072911, 117.324378268705)]}"
2,1.37104E+19,['Group 7'],maps/g4/n.json,[10],[10],['F'],[12.292333229864912],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],[],"[('Group 7', 134.70696020126343)]","{0: [(97.8858032226563, 470.65185546875), (222.504337102101, 409.395031194941), (303.336687205854, 222.850299693909), (408.689209379343, 124.149733961278), (435.934276523949, 113.093453934072), (544.50992042644, 235.720497931979), (609.833903520755, 305.134622048696), (779.079760774692, 256.763837678569), (796.197144789326, 235.149260069583), (844.840630985118, 124.041794229022)]}","{0: [(97.8858032226563, 470.65185546875), (234.966190490046, 403.26934876756), (310.173736877435, 204.808394786544), (408.689209379343, 124.149733961278), (438.658783238409, 111.987825931351), (555.095034145243, 248.093765132041), (615.307790458307, 310.838707740362), (779.079760774692, 256.763837678569), (797.90888319079, 232.987802308684), (849.53380576455, 113.147193421056)]}"
3,6.16504E+18,['Group 7'],maps/g4/n.json,[10],[10],['F'],[4.592318185006989],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],[],"[('Group 7', 115.5687575340271)]","{0: [(97.8858032226563, 470.65185546875), (203.514693857684, 406.619918562004), (289.51367719185, 280.187820180948), (429.928390943738, 117.091250682223), (553.935430613552, 236.450520101982), (613.472949607661, 296.863209094329), (777.627519453789, 257.693375949133), (804.637719652472, 225.122852866672), (852.378360257913, 138.260092091248), (856.88232231647, 129.89952124453)]}","{0: [(97.8858032226563, 470.65185546875), (214.077582921187, 400.216724871329), (297.057286618916, 268.184929711909), (443.21550137622, 101.981882779254), (565.007423537285, 249.897383834255), (618.319502214699, 301.559791620337), (777.627519453789, 257.693375949133), (807.33873967234, 221.865800558426), (856.88232231647, 129.89952124453), (856.29025428308, 118.715503044772)]}"
4,1.57382E+18,['Group 7'],maps/g4/n.json,[10],[10],['F'],[7.93189445490553],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],[],"[('Group 7', 129.79960441589355)]","{0: [(201.461682217827, 411.293310331678), (298.886075441346, 275.09511637189), (416.853307638215, 137.497418649764), (544.781984045864, 243.747921576169), (605.198575007682, 316.325818615117), (626.883843025027, 326.402331023765), (766.245357610092, 242.250315321352), (786.445835173603, 219.473923461585), (808.300528102158, 196.482624601297), (849.481321741251, 123.101691256377)]}","{0: [(211.819270117344, 405.357455817971), (307.592755973746, 262.068882427282), (427.779362804662, 125.040272272012), (556.482246169984, 255.618686506585), (605.198575007682, 316.325818615117), (629.052369826761, 327.40998226463), (766.245357610092, 242.250315321352), (786.445835173603, 219.473923461585), (810.485997395013, 194.183494715268), (853.380854175875, 115.993510910488)]}"
5,1.01208E+19,['Group 7'],maps/g4/n.json,[10],[10],['F'],[3.9320648195488097],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],[],"[('Group 7', 97.11298537254333)]","{0: [(187.633470990941, 422.296823022218), (311.575938422682, 252.610365804006), (420.535737610323, 121.248771359224), (567.496203849872, 243.342408223196), (710.518742291016, 347.011440981876), (798.518660078879, 239.869131424672), (840.027127187983, 124.945625223833), (858.465651576508, 124.971201026707), (859.969489149847, 126.006820269038), (853.612654399446, 121.365064878152)]}","{0: [(196.608237767769, 417.461319777565), (323.072708488174, 236.12527040665), (430.282040522538, 109.761121454482), (581.217620182605, 256.700536900068), (723.448854501858, 356.042531390057), (806.025640636581, 228.251791428133), (843.427275843124, 114.615008603403), (859.969489149847, 126.006820269038), (853.612654399446, 121.365064878152), (859.527081205289, 125.76101165546)]}"
1,6.49671E+18,['Group 7'],maps/g4/n.json,[25],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 7'],"[('Group 7', 51.14519715309143)]","{0: [(249.00722269298, 326.397856931457), (394.502974550775, 156.006743366506), (584.115639496358, 262.759225308481), (769.617033070476, 141.292970349799), (859.145409190042, 117.894056614348), (868.001590839793, 115.631159456449), (852.443197874683, 126.120681871701), (859.578217766497, 121.250233785439)]}","{0: [(264.119364640013, 311.972457077728), (407.541335541851, 140.410171995384), (601.773069891809, 274.994130639791), (770.583592692535, 140.523028193338), (868.001590839793, 115.631159456449), (852.443197874683, 126.120681871701), (859.578217766497, 121.250233785439), (856.4530403484026, 123.29946791126203)]}"
2,5.55294E+18,['Group 7'],maps/g4/n.json,[25],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 7'],"[('Group 7', 50.01426959037781)]","{0: [(245.063428783758, 323.449869473515), (395.714428925049, 156.885818417101), (567.710155608858, 250.027508733774), (761.01059897873, 157.615618775809), (841.101791769732, 126.008973200309), (848.685781175872, 123.09564477419)]}","{0: [(259.781191339868, 308.729670873991), (409.307752683568, 141.701433171412), (583.550395901387, 260.86011629001), (765.261897708334, 155.142257461501), (848.685781175872, 123.09564477419), (856.4548377072235, 123.35574485993902)]}"
3,1.07627E+19,['Group 7'],maps/g4/n.json,[25],[9],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 7'],"[('Group 7', 68.03455424308777)]","{0: [(246.956123845405, 329.95398198548), (397.709823840336, 137.912175095586), (474.490365576561, 123.765259161604), (579.79140381982, 246.841307716659), (771.310200181877, 144.29066378862), (857.886626722224, 123.823722812928), (866.544269376259, 121.777028715359), (852.280770223891, 123.136472295224), (860.102083323073, 123.255706971379)]}","{0: [(261.86315590768, 315.884194637153), (400.829228867636, 133.82545864589), (481.856479247454, 122.759239213175), (589.584896277057, 259.249514567007), (771.310200181877, 144.29066378862), (866.544269376259, 121.777028715359), (852.280770223891, 123.136472295224), (860.102083323073, 123.255706971379), (856.4564459770221, 123.26447316267594)]}"
4,7.5487E+18,['Group 7'],maps/g4/n.json,[25],[10],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],['Group 7'],"[('Group 7', 67.27268695831299)]","{0: [(248.462902235538, 328.689156253439), (263.520612136827, 314.492886331908), (392.833460368478, 143.932532602617), (484.051799216742, 129.376956550585), (583.248674366644, 251.691055404465), (762.020747983229, 150.229542640021), (850.895355551184, 120.836832382342), (859.135124126044, 118.331706779595), (854.327223424992, 126.615046193496), (858.513172167601, 120.352701353)]}","{0: [(263.520612136827, 314.492886331908), (263.520612136827, 314.492886331908), (399.921894255313, 134.583068820338), (492.464789712885, 128.85634532361), (592.32706283202, 263.97452641255), (768.497669802579, 145.888088409821), (859.135124126044, 118.331706779595), (854.327223424992, 126.615046193496), (858.513172167601, 120.352701353), (856.4950918139281, 123.3309306840555)]}"
5,6.50536E+18,['Group 7'],maps/g4/n.json,[25],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 7'],"[('Group 7', 49.58217430114746)]","{0: [(248.022505187763, 333.414248091853), (398.598677860596, 149.921279513458), (572.814886358127, 251.17015309124), (757.621758725375, 160.084387184731), (838.891699168449, 122.600643132514), (846.2672677782, 119.310533195886), (860.542879213933, 124.235376130496), (852.700845761624, 122.61156332262)]}","{0: [(263.036175384274, 319.690487354163), (412.154928108228, 132.944358729388), (588.880882183117, 262.992732527425), (765.136013070937, 155.501742498798), (846.2672677782, 119.310533195886), (860.542879213933, 124.235376130496), (852.700845761624, 122.61156332262), (856.4520621577243, 123.32826222488444)]}"
