trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,2.02835E+18,['Group 3'],maps/g4/n.json,[10],[10],['F'],[1.1927116377267903],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],[],"[('Group 3', 62.487356185913086)]","{0: [(194.102985835409, 402.703115731341), (256.756651195873, 313.245941113466), (361.231390804497, 183.569877835698), (501.105667777076, 180.528221078506), (539.246062778343, 210.737790480055), (567.479462711236, 254.012011856672), (760.272114571276, 218.446896976621), (834.392912130593, 157.780504082987), (854.231730053703, 127.206426578053), (855.474403870421, 124.755682756496)]}","{0: [(203.724704096684, 395.9082417576), (262.059845905792, 304.979711049053), (371.148545294367, 171.428894514362), (510.96060047176, 181.218242903731), (542.074609009001, 213.689745237688), (570.019948081459, 258.04423851857), (760.272114571276, 218.446896976621), (841.804991886525, 151.713864793624), (855.474403870421, 124.755682756496), (857.228394405029, 122.395520611244)]}"
2,1.00644E+19,['Group 3'],maps/g4/n.json,[10],[10],['F'],[7.542259689757595],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],[],"[('Group 3', 63.65103816986084)]","{0: [(184.62586666332, 423.938613555109), (268.240243370502, 314.604670799195), (372.235182390742, 177.515687192073), (480.951504819619, 150.170640092742), (553.203949519696, 254.321897736878), (559.438531667399, 264.883851250534), (725.228806890167, 290.213374694286), (763.124891615866, 229.515449031261), (815.004006156039, 213.542186413254), (846.794179542899, 128.814985029569)]}","{0: [(193.299873007386, 419.267289363745), (275.734280406814, 304.13840894274), (381.885272589135, 164.853415017006), (490.858128042668, 148.702362600316), (559.438531667399, 264.883851250534), (559.438531667399, 264.883851250534), (725.228806890167, 290.213374694286), (763.124891615866, 229.515449031261), (820.191917610056, 211.944860151453), (849.454405736184, 120.501997517381)]}"
3,6.74645E+17,['Group 3'],maps/g4/n.json,[10],[10],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 64.11004447937012)]","{0: [(203.836008017208, 414.328742281857), (279.531561834523, 296.358604152343), (392.669332682667, 162.888857977418), (515.615845029895, 195.153839146022), (566.283452321259, 271.430925135137), (759.66221243079, 226.631461496514), (821.384885063403, 212.607951924484), (852.245863110916, 127.318986672958), (854.714734189341, 118.930325243526), (856.266742965562, 123.685451063501)]}","{0: [(214.431028496664, 408.696430963168), (286.041615168309, 285.12482147126), (403.332104434103, 150.665261628033), (526.844219089474, 199.602696897821), (570.227375644438, 278.613747958868), (759.66221243079, 226.631461496514), (827.557152326664, 211.205600967281), (854.714734189341, 118.930325243526), (856.266742965562, 123.685451063501), (856.438049335766, 123.29666101519295)]}"
4,1.43629E+19,['Group 3'],maps/g4/n.json,[10],[10],['F'],[1.7287039481219855],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],[],"[('Group 3', 61.64251971244812)]","{0: [(203.976553029049, 411.975372061104), (277.18657651541, 305.645922302827), (362.641008428046, 177.800372445686), (508.504256598819, 153.157280949273), (546.02849586892, 208.159484213262), (566.436615120147, 259.804396866571), (747.880176127743, 220.145219415856), (796.645663251085, 229.370660208148), (855.04764146724, 136.517274591398), (860.400184417622, 127.1396816218)]}","{0: [(214.585628009689, 406.107723720339), (283.446671365982, 295.599742161076), (370.560442134253, 166.020435474147), (508.504256598819, 153.157280949273), (549.780919795931, 213.659704539661), (568.102184652569, 264.418866099263), (747.880176127743, 220.145219415856), (801.522211963419, 230.293204287377), (860.400184417622, 127.1396816218), (855.30805890099, 122.012756287218)]}"
5,1.04809E+19,['Group 3'],maps/g4/n.json,[10],[10],['F'],[1.0552201005286668],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],[],"[('Group 3', 1.926973581314087)]","{0: [(204.03431016038, 401.100448340896), (313.914291936971, 274.844832528029), (377.557771108501, 162.748757685604), (490.919560811234, 158.476470644468), (576.390150910036, 260.724342535262), (732.749172516157, 226.080347962013), (820.323944431043, 212.99216562776), (850.516241762085, 132.735318157612), (852.745853874734, 124.814593031576), (857.355489806609, 123.203586292688)]}","{0: [(214.649160854152, 394.145307628111), (323.840805045253, 262.914785018021), (382.929467714826, 152.732154952362), (501.718570120875, 159.050902213678), (583.857308988952, 270.891686567421), (741.362182385475, 223.488127725645), (828.2201206356, 211.942569417972), (852.745853874734, 124.814593031576), (857.355489806609, 123.203586292688), (855.401391691573, 123.292757896923)]}"
1,1.02788E+19,['Group 3'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.2853262424468994)]","{0: [(238.192486864942, 360.490010497888), (377.182340014857, 174.025958649768), (550.392035790292, 262.817574115824), (759.545758887996, 224.091064679096), (806.222918910429, 175.002375637846), (853.963554612162, 124.952825616023), (858.270846582111, 120.438757504254)]}","{0: [(252.223155229171, 349.473826000802), (389.678258493426, 156.481171914665), (566.463413519979, 273.451214335939), (759.545758887996, 224.091064679096), (810.890634912672, 170.093506733721), (858.270846582111, 120.438757504254), (856.4615027898856, 123.3079373009591)]}"
2,3.18558E+18,['Group 3'],maps/g4/n.json,[25],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.2703735828399658)]","{0: [(237.549215440654, 354.859439292834), (383.463109145033, 173.260337033231), (559.925608638585, 263.700158309304), (747.860172511128, 181.935476103585), (829.818352158396, 150.328867395052), (856.542030602902, 123.241657175693), (858.493797060277, 120.795644726268), (855.904997430655, 124.158704333116)]}","{0: [(251.515556662453, 343.280197675243), (396.657864393291, 156.25835096903), (576.252383063115, 274.444339043331), (757.758213450827, 176.599724646102), (837.024366029153, 147.701781669947), (858.493797060277, 120.795644726268), (855.904997430655, 124.158704333116), (856.454605604319, 123.30356440412281)]}"
3,1.06788E+19,['Group 3'],maps/g4/n.json,[25],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.170243263244629)]","{0: [(235.650326570274, 353.499519966151), (367.815883216853, 186.652519449265), (553.771949710099, 258.980005391187), (756.175104295509, 177.884954683342), (848.897169985385, 137.743802937731), (858.032768335181, 133.796059624375)]}","{0: [(249.426778905036, 341.784286415891), (379.654793648035, 171.139342752602), (571.183665316305, 267.764071655046), (757.54118648743, 177.221236071291), (858.032768335181, 133.796059624375), (856.4882941689044, 123.3001373836035)]}"
4,4.47907E+18,['Group 3'],maps/g4/n.json,[25],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.2975432872772217)]","{0: [(234.778679061253, 354.545473229186), (362.968892192094, 181.601519074972), (541.50322269256, 261.009736632758), (749.925559355367, 216.962914034837), (816.614125928134, 164.243067137517), (855.231045175687, 123.619400431546), (858.425851434714, 120.084232229922), (855.977200208387, 124.440418739864)]}","{0: [(248.467966645113, 342.934835005229), (374.418984746792, 165.468187481946), (558.211646487136, 270.563891547839), (749.925559355367, 216.962914034837), (823.282982585411, 158.971082447785), (858.425851434714, 120.084232229922), (855.977200208387, 124.440418739864), (856.4232338534056, 123.29187408188652)]}"
5,5.99309E+18,['Group 3'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.0774321556091309)]","{0: [(237.389741597095, 354.511983603289), (369.812897055744, 175.611183767466), (561.078939388396, 265.821279803823), (764.458476522955, 167.26359403733), (837.017313553049, 134.076800660838), (844.273197256058, 130.758121323189), (856.717854792478, 122.96812987619)]}","{0: [(251.340135434539, 342.897996416743), (381.660173217864, 158.882502502539), (579.020816005449, 276.515157533951), (764.458476522955, 167.26359403733), (844.273197256058, 130.758121323189), (856.717854792478, 122.96812987619), (856.4650278615437, 123.31106500816114)]}"
1,1.71602E+19,['Group 3'],maps/g4/n.json,[50],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.0859487056732178)]","{0: [(268.272544161765, 310.638524203041), (374.682393844528, 172.519034204589), (562.63827939662, 269.721573737953), (758.263321293991, 174.365126288982), (852.399196842102, 122.256102558993), (861.777884156851, 117.066074345148)]}","{0: [(285.311218255676, 294.637191076471), (383.619511403414, 160.3072185174), (580.54015619594, 280.663009260009), (758.612323694609, 174.156384697434), (861.777884156851, 117.066074345148), (856.4630792470151, 123.31037289236538)]}"
2,1.07039E+19,['Group 3'],maps/g4/n.json,[50],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.1023013591766357)]","{0: [(260.211026552277, 310.781257238207), (374.693375943408, 174.908462128838), (556.227604574153, 263.593723740571), (761.6043025759, 171.363435175691), (850.693499389245, 128.420997005211), (859.602419070579, 124.126753188163)]}","{0: [(276.443548885239, 294.794197415153), (384.518358649225, 162.919888600206), (573.398529166646, 273.661107254607), (761.6043025759, 171.363435175691), (859.602419070579, 124.126753188163), (856.4552897753794, 123.30963624980446)]}"
3,1.72404E+19,['Group 3'],maps/g4/n.json,[50],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.098156452178955)]","{0: [(259.583208541042, 307.062680764248), (375.154382912515, 172.811341092), (557.433847857505, 264.384915632916), (762.614506617043, 172.738063455224), (848.412416751542, 130.848157994837), (856.992207764992, 126.659167448799)]}","{0: [(275.752949072881, 290.703763293797), (385.094526296479, 161.02209887182), (574.667780013607, 274.721197309025), (762.614506617043, 172.738063455224), (856.992207764992, 126.659167448799), (856.4404277897564, 123.30746255837529)]}"
4,9.6788E+18,['Group 3'],maps/g4/n.json,[50],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.1427991390228271)]","{0: [(261.40208581064, 304.873551126163), (374.060563239173, 176.407370005565), (562.180913814637, 265.235785068843), (762.248731573439, 175.636474741319), (853.477018368285, 125.269356192772), (862.599847047769, 120.232644337917), (855.346637123965, 123.663465689152)]}","{0: [(277.753714069438, 288.295720691904), (383.691248156147, 165.218534936931), (580.029880380486, 275.237510082035), (762.248731573439, 175.636474741319), (862.599847047769, 120.232644337917), (855.346637123965, 123.663465689152), (856.4497853731805, 123.28510702249588)]}"
5,3.74088E+18,['Group 3'],maps/g4/n.json,[50],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 3'],"[('Group 3', 1.0941970348358154)]","{0: [(257.607127218154, 314.080003191626), (374.652920151874, 171.804192930113), (557.375990127934, 269.654250080498), (761.47629727785, 172.216800506881), (850.025145715825, 130.339029648394), (858.880030559623, 126.151252562545)]}","{0: [(273.579259617704, 298.422817963913), (384.760286205291, 159.142330426733), (574.637560520198, 280.705442045874), (761.47629727785, 172.216800506881), (858.880030559623, 126.151252562545), (856.4413077717802, 123.31792291278194)]}"
