trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.69166E+19,['Group 9'],maps/g1/tournament.json,[10],[8],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],['Group 9'],"[('Group 9', 79.13480424880981)]","{0: [(179.217396911659, 242.945764008035), (187.139136602825, 243.240340408838), (392.529188693423, 164.935223897816), (412.207232149794, 157.436016424786), (458.711259248364, 114.786245045943), (689.344861599327, 123.566306185731), (711.943181563438, 124.870810013498), (699.453862586396, 119.23340978646)]}","{0: [(187.139136602825, 243.240340408838), (195.506045270486, 240.019793804017), (412.207232149794, 157.436016424786), (412.207232149794, 157.436016424786), (463.361661958221, 110.521267908058), (711.943181563438, 124.870810013498), (699.453862586396, 119.23340978646), (699.9570747936853, 120.0272114421325)]}"
2,7.20361E+18,['Group 9'],maps/g1/tournament.json,[10],[9],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[2],[0],[0],['Group 9'],"[('Group 9', 83.36431193351746)]","{0: [(171.224564583767, 243.166274410015), (178.347021042144, 243.482901851017), (195.249320321137, 245.599255767215), (383.743486202496, 173.333986365514), (473.668043644474, 39.963812457519), (480.775557729859, 27.3494477607365), (653.827346686437, 103.055014038638), (695.832299520938, 119.848794000315), (699.554054365092, 121.318735756179)]}","{0: [(178.347021042144, 243.482901851017), (195.249320321137, 245.599255767215), (195.249320321137, 245.599255767215), (402.592902790632, 166.107459425344), (480.775557729859, 27.3494477607365), (480.775557729859, 27.3494477607365), (658.614751079397, 105.149376441683), (699.554054365092, 121.318735756179), (699.986915937101, 119.99571918586523)]}"
3,7.8549E+18,['Group 9'],maps/g1/tournament.json,[10],[9],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 9'],"[('Group 9', 79.24322652816772)]","{0: [(174.224808915126, 242.532765700563), (181.647289806639, 242.786042270619), (397.518367655038, 163.6918674985), (455.322929675362, 98.0149070874596), (717.777386110335, 117.791358325578), (708.625443451399, 120.572987918855), (705.127722703173, 120.593745742993), (700.646842245049, 119.628996980241), (700.102481801958, 119.926750293733)]}","{0: [(181.647289806639, 242.786042270619), (196.396475054497, 240.595625828353), (413.304847658227, 157.655529895733), (459.524737877076, 92.0508448066323), (743.602650933661, 120.365409677472), (705.127722703173, 120.593745742993), (700.646842245049, 119.628996980241), (700.102481801958, 119.926750293733), (699.9987637822832, 119.99820561935215)]}"
4,6.8163E+18,['Group 9'],maps/g1/tournament.json,[10],[10],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[2],[0],[0],['Group 9'],"[('Group 9', 61.84908938407898)]","{0: [(100.0, 240.0), (181.103255341029, 238.806028469063), (382.235294322384, 167.678388352407), (401.537465667109, 160.577564056051), (483.079843250014, 30.6159693312929), (672.2056626501, 94.764419681083), (700.325596107769, 120.662464367665), (702.976977088368, 123.18380295825), (700.366673068897, 120.578163341231), (700.045139223021, 120.065506556305)]}","{0: [(100.0, 240.0), (189.213580875132, 238.68663131597), (401.537465667109, 160.577564056051), (401.537465667109, 160.577564056051), (491.234081008304, 17.619809858817), (673.811786301778, 95.4490784618207), (702.976977088368, 123.18380295825), (700.366673068897, 120.578163341231), (700.045139223021, 120.065506556305), (699.9962755571848, 120.00290721810111)]}"
5,2.08275E+18,['Group 9'],maps/g1/tournament.json,[10],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 9'],"[('Group 9', 82.78709363937378)]","{0: [(179.676465794126, 241.674421279248), (187.644112373539, 241.841863407173), (381.908895976136, 164.698153268787), (461.89409399956, 72.5947531221409), (678.495940048003, 109.385321560512), (695.329201119741, 116.330427208073), (697.012527226914, 117.024937772829)]}","{0: [(187.644112373539, 241.841863407173), (195.462204948992, 239.960560515605), (400.553565078851, 157.171912544105), (468.028146891631, 64.1370371799445), (678.495940048003, 109.385321560512), (697.012527226914, 117.024937772829), (699.9756339585529, 120.02407333048056)]}"
1,9.03301E+18,['Group 9'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],['Group 9'],"[('Group 9', 20.521202087402344)]","{0: [(184.500955123307, 232.485385169199), (192.951050635637, 231.733923686119), (407.937910263939, 244.302737172372), (650.137231804285, 242.900124684402), (697.890988927025, 120.157238481006), (699.777527538612, 120.330206423039), (699.75297654929, 121.364205777405)]}","{0: [(192.951050635637, 231.733923686119), (192.951050635637, 231.733923686119), (429.436596226769, 245.559618520997), (672.207295362036, 242.634175300742), (700.023037431828, 109.990212879385), (699.75297654929, 121.364205777405), (700.0041376519101, 120.00076220038257)]}"
2,1.14723E+19,['Group 9'],maps/g1/tournament.json,[25],[8],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[2],[0],[0],['Group 9'],"[('Group 9', 20.59506392478943)]","{0: [(100.0, 240.0), (185.030525355822, 235.10836094792), (405.346283259155, 247.587966064955), (426.52755379593, 248.884842967179), (649.673841069554, 247.537341306472), (695.847004451075, 129.017559244199), (698.232857916491, 117.179056054579), (700.024922435986, 119.924014426051)]}","{0: [(100.0, 240.0), (193.533577891404, 234.619197042712), (426.52755379593, 248.884842967179), (426.52755379593, 248.884842967179), (671.988469796916, 247.402591140401), (698.232857916491, 117.179056054579), (700.024922435986, 119.924014426051), (700.000932380885, 120.00029323829447)]}"
3,1.27302E+19,['Group 9'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 9'],"[('Group 9', 20.17724084854126)]","{0: [(186.63509880454, 235.765908423532), (412.185821924054, 245.405913248827), (651.651365385262, 220.86977371737), (696.587993087391, 115.890053872613), (700.219027980238, 120.636942326163), (700.448733671535, 121.701611937108)]}","{0: [(195.298608684994, 235.342499265885), (433.87454324796, 246.412254647121), (673.429047598992, 218.315525624395), (697.921971067264, 109.990246216716), (700.448733671535, 121.701611937108), (700.0325787892945, 119.99206932769751)]}"
4,1.35033E+19,['Group 9'],maps/g1/tournament.json,[25],[5],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 9'],"[('Group 9', 20.009663343429565)]","{0: [(181.132559688683, 236.553417433958), (413.566752666139, 243.273637153317), (665.121237115047, 199.666523132116), (698.53021746895, 118.134910259705), (699.57989159686, 110.424884990652)]}","{0: [(189.245815657551, 236.208759177354), (435.998846366997, 243.980124950914), (688.033476189852, 195.235162950236), (699.57989159686, 110.424884990652), (700.0309352378629, 119.99854254842136)]}"
5,8.55535E+18,['Group 9'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[2],[0],[0],['Group 9'],"[('Group 9', 20.65589451789856)]","{0: [(100.0, 240.0), (100.0, 240.0), (184.756027503057, 234.645444853203), (424.176871657709, 247.107167733231), (658.567193395465, 172.156401665451), (699.895538944577, 122.774525238831), (701.915415523515, 118.598842435242)]}","{0: [(100.0, 240.0), (100.0, 240.0), (193.231630253363, 234.109989338523), (447.271395798143, 248.406885572702), (679.696773155198, 164.531353274726), (701.915415523515, 118.598842435242), (699.993339062822, 119.99080229905405)]}"
