trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.81622E+19,['Group 4'],maps/g4/n.json,[10],[10],['F'],[312.82751447427967],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 4', 600.3332958221436)]","{0: [(221.392521475477, 346.084438981561), (385.765159077264, 174.551882839855), (566.458154849599, 264.647055098899)]}","{0: [(233.74319330076, 333.627697332842), (400.967355654914, 158.644301390556), (583.007234769068, 275.247330469733)]}"
2,1.04115E+19,['Group 4'],maps/g4/n.json,[10],[10],['F'],[297.18178844869345],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 4', 600.3304286003113)]","{0: [(250.129974572599, 335.604497238117), (408.629050256488, 142.138218750177), (568.308030222708, 228.822709262954)]}","{0: [(265.354391707594, 322.099761415053), (422.956516111377, 124.142064483689), (582.843181633841, 239.290773740881)]}"
3,1.37599E+16,['Group 4'],maps/g4/n.json,[10],[10],['F'],[327.4087644934709],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 4', 600.4021902084351)]","{0: [(249.603846712748, 340.555945867006), (363.493388828329, 186.90283088702), (537.177948812888, 240.805037421907)]}","{0: [(264.775651061757, 327.546354906831), (373.365162604987, 172.838478485039), (553.559227433678, 247.601693315594)]}"
4,1.24589E+19,['Group 4'],maps/g4/n.json,[10],[10],['F'],[444.87931989218646],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[1],[0],[],"[('Group 4', 600.6995048522949)]","{0: [(97.8858032226563, 470.65185546875), (243.050129917564, 326.562950889132), (397.790246473694, 153.627643578177)]}","{0: [(97.8858032226563, 470.65185546875), (257.566562587055, 312.154060431171), (411.812614862358, 137.775001892878)]}"
5,1.61823E+19,['Group 4'],maps/g4/n.json,[10],[10],['F'],[313.27387427186125],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 4', 600.1099119186401)]","{0: [(211.162640951402, 365.591542117931), (349.408964256021, 193.060146099118), (552.364875055609, 246.279221609873)]}","{0: [(222.490324724277, 355.085510782849), (362.100828209195, 176.857609630744), (571.39127974025, 253.221382807786)]}"
1,1.12492E+19,['Group 4'],maps/g4/n.json,[25],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 4'],"[('Group 4', 514.646625995636)]","{0: [(249.498480603965, 334.534765907866), (398.28822820473, 161.253199063767), (577.901505694599, 252.765353238021), (791.394643133805, 173.693812367064), (848.701364076101, 124.274970243647), (854.43203617033, 119.333086031306)]}","{0: [(264.659748342096, 320.923056951777), (411.651076190993, 145.286213274966), (594.52654864496, 263.513267234326), (791.394643133805, 173.693812367064), (854.43203617033, 119.333086031306), (856.4177803695126, 123.32409606818341)]}"
2,2.05244E+18,['Group 4'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 4'],"[('Group 4', 512.7538223266602)]","{0: [(252.485666451715, 322.87400667319), (398.194828522106, 155.63358077055), (572.736307427549, 247.581061662574), (811.426826576559, 169.736556222357), (857.04795708694, 122.605853717288), (859.384681507819, 118.778422266178), (856.479460399256, 123.718139797121)]}","{0: [(267.94565277462, 308.096221793634), (411.219746096855, 140.387316668241), (588.887963560618, 258.300436162008), (833.680712878153, 160.880168228392), (859.384681507819, 118.778422266178), (856.479460399256, 123.718139797121), (856.4591298970931, 123.30468236603818)]}"
3,1.72227E+19,['Group 4'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 4'],"[('Group 4', 508.8474922180176)]","{0: [(253.4439576646, 318.609197589397), (416.080848619218, 137.022587384713), (564.63400572472, 234.917089407248), (769.431834850336, 144.180004443072), (840.160931101163, 127.152888518582), (847.233840726246, 125.450176926133), (856.828264417798, 123.6309894461)]}","{0: [(268.999773108794, 303.404931801461), (430.788956170261, 120.384352943038), (578.018510680166, 246.370363053669), (769.431834850336, 144.180004443072), (847.233840726246, 125.450176926133), (856.828264417798, 123.6309894461), (856.459280138153, 123.30174205178979)]}"
4,8.42428E+18,['Group 4'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 4'],"[('Group 4', 516.3217082023621)]","{0: [(259.368323122087, 316.64937961688), (402.766758904253, 148.932712463853), (576.907771031636, 248.748815076952), (779.875472599411, 176.656607872839), (852.64578718514, 124.186210152864), (859.922818643713, 118.939170380867), (856.162483372436, 123.402274327863)]}","{0: [(275.51657511203, 301.249132031693), (415.491777283475, 133.701070507069), (593.049370406452, 260.25358953394), (779.875472599411, 176.656607872839), (859.922818643713, 118.939170380867), (856.162483372436, 123.402274327863), (856.4551209197772, 123.30071213113658)]}"
5,6.47431E+18,['Group 4'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],['Group 4'],"[('Group 4', 517.9904062747955)]","{0: [(258.052626453316, 311.510377381204), (274.069308776382, 295.596229572449), (408.160426457156, 136.699863849592), (580.644877693935, 253.568512644235), (795.156677747465, 171.186214996769), (856.53205429403, 124.738184999261), (860.68354928762, 121.049963261352)]}","{0: [(274.069308776382, 295.596229572449), (274.069308776382, 295.596229572449), (421.569538225234, 120.810227277306), (596.552411640805, 266.844341180928), (815.017104358131, 161.620402378353), (860.68354928762, 121.049963261352), (856.456932227761, 123.3055389844299)]}"
