trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,9.40573E+18,['Group 2'],maps/g1/tournament.json,[10],[10],['F'],[520.3463246795848],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[3],[1],[0],[],"[('Group 2', 600.4663791656494)]","{0: [(100.0, 240.0), (100.0, 240.0), (100.0, 240.0), (183.192747522014, 231.322591844771)]}","{0: [(100.0, 240.0), (100.0, 240.0), (100.0, 240.0), (191.512022274215, 230.454851029248)]}"
2,3.39172E+18,['Group 2'],maps/g1/tournament.json,[10],[10],['F'],[522.9215379295887],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.9717547893524)]","{0: [(180.340129029168, 229.183105646751)]}","{0: [(188.374141932085, 228.101416211426)]}"
3,6.77637E+18,['Group 2'],maps/g1/tournament.json,[10],[10],['F'],[536.3287310774056],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.6003704071045)]","{0: [(167.507679540338, 227.308431413299)]}","{0: [(174.258447494372, 226.039274554629)]}"
4,1.30778E+19,['Group 2'],maps/g1/tournament.json,[10],[10],['F'],[518.9262895302172],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.9438848495483)]","{0: [(186.541678765389, 240.216681467804)]}","{0: [(195.195846641928, 240.238349614584)]}"
5,4.89231E+18,['Group 2'],maps/g1/tournament.json,[10],[10],['F'],[529.2944567299722],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.1576445102692)]","{0: [(173.865508911076, 226.485621041053)]}","{0: [(181.252059802184, 225.134183145158)]}"
1,6.83539E+18,['Group 2'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 2'],"[('Group 2', 486.93221616744995)]","{0: [(182.874607468161, 232.87086069613), (408.873795599299, 184.483204584587), (435.244899380813, 158.218004067408), (642.980861902019, 89.6150506143264), (697.39929896914, 116.978039952464), (700.790154154422, 120.374103220291)]}","{0: [(191.162068214977, 232.157946765743), (408.873795599299, 184.483204584587), (437.882009758964, 155.59148401569), (663.490747116325, 83.0174072741901), (700.790154154422, 120.374103220291), (699.9899639096344, 120.0228641463985)]}"
2,1.48277E+19,['Group 2'],maps/g1/tournament.json,[25],[10],['F'],[235.57847938356133],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.6839067935944)]","{0: [(181.558883490219, 232.469592404047), (381.098701679337, 184.78693047507), (392.673963848781, 166.113911015456), (462.461449795815, 80.410498528078)]}","{0: [(189.714771839241, 231.716551644452), (384.61888605903, 183.923739299492), (393.479471627756, 164.332928187052), (469.35964761262, 72.0182555621806)]}"
3,4.20454E+18,['Group 2'],maps/g1/tournament.json,[25],[10],['F'],[237.12836230337348],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.3040866851807)]","{0: [(178.100339360561, 233.102811252072), (392.964284769932, 187.731436044497), (384.537492027866, 167.901491367598), (456.965077460495, 100.614253000448)]}","{0: [(185.910373296617, 232.413092377279), (392.964284769932, 187.731436044497), (383.694812753659, 165.918496899908), (464.292103931179, 94.0838286105021)]}"
4,2.72623E+18,['Group 2'],maps/g1/tournament.json,[25],[10],['F'],[266.2556144763581],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 2', 600.536538362503)]","{0: [(178.359935183479, 234.661661582347), (382.719717324804, 188.757397323234), (388.567866331703, 165.77310467382), (432.287075256315, 159.507666432501)]}","{0: [(186.195928701827, 234.127827740582), (385.822413325243, 188.041093948561), (388.842411632349, 163.546305746346), (436.631541618711, 159.103802501116)]}"
5,2.34223E+17,['Group 2'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 2'],"[('Group 2', 487.6544268131256)]","{0: [(181.435219074227, 233.967230155804), (404.325524135817, 187.228896402108), (435.613963690086, 150.302617509439), (645.344413006224, 86.8338515761243), (698.67914479829, 116.245209590364), (701.94660192389, 119.784106772229)]}","{0: [(189.57874098165, 233.363953171385), (404.325524135817, 187.228896402108), (438.742807645513, 146.609989620173), (666.004573542295, 80.8562377717194), (701.94660192389, 119.784106772229), (700.0039373837018, 120.03098317826841)]}"
