trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.53146E+19,['Group 3'],maps/g1/tournament.json,[10],[10],['F'],[249.08017617233514],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],[],"[('Group 3', 36.54151105880737)]","{0: [(117.538252292236, 203.355448788697), (127.13789849959, 88.2996149487211), (101.369864985435, 37.9961153619986), (113.01152523413, 12.6818521958207), (237.050897651232, 6.26148041701173), (401.092781859633, 123.094472445957), (399.710688904623, 141.525939996566), (422.093886031353, 117.907065596419), (423.995049617385, 111.129563498875), (448.759079596436, 107.797314774953)]}","{0: [(119.29207752146, 199.690993667566), (127.922480597403, 77.1604770768365), (98.7146034242381, 34.0796791905148), (114.441217415119, 10.5420694963513), (249.311865674843, 5.83342150907777), (401.092781859633, 123.094472445957), (399.710688904623, 141.525939996566), (422.093886031353, 117.907065596419), (423.995049617385, 111.129563498875), (451.235482594341, 107.46408990256)]}"
2,2.92029E+17,['Group 3'],maps/g1/tournament.json,[10],[10],['F'],[1.9052602656348003],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],[],"[('Group 3', 35.432753801345825)]","{0: [(123.486831333399, 193.942267949269), (129.853081761154, 60.7825960228479), (111.133300228104, 10.9943721669692), (214.185780939067, 6.83953144677037), (378.608968530334, 16.6474589549793), (431.978893229438, 32.4768881805893), (449.789827878153, 29.437626993953), (472.215653108408, 43.9280041540896), (647.612990190292, 85.7547952704349), (695.585785370395, 118.477471028604)]}","{0: [(125.835514466739, 189.336494744196), (130.254838490595, 47.9272061507131), (109.221146401855, 7.30108876859476), (224.682244392789, 6.79337571458794), (378.608968530334, 16.6474589549793), (431.978893229438, 32.4768881805893), (449.789827878153, 29.437626993953), (474.458235631434, 45.3770418701032), (664.928465646178, 89.7925706104681), (698.651517342816, 121.345961070418)]}"
3,8.2077E+18,['Group 3'],maps/g1/tournament.json,[10],[10],['F'],[40.670755608243155],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],[],"[('Group 3', 36.756484270095825)]","{0: [(118.324418526471, 202.419173861185), (133.725019935135, 71.8992034730586), (116.763454081537, 19.6494880257256), (114.931615900617, 15.6921353587348), (114.132699701919, 11.4395092045103), (235.675502195455, 7.27837874724446), (402.877594170083, 108.476401600731), (427.915972311177, 111.809773558136), (455.089276142821, 108.83703701217), (656.271721902256, 89.0302636516041)]}","{0: [(120.156860379118, 198.661091247304), (135.081835890737, 59.2230146956341), (114.931615900617, 15.6921353587348), (114.132699701919, 11.4395092045103), (114.132699701919, 11.4395092045103), (247.829782444808, 6.86226570151787), (402.877594170083, 108.476401600731), (427.915972311177, 111.809773558136), (457.806606525985, 108.539763357573), (676.118233439883, 87.0793136810072)]}"
4,3.05001E+18,['Group 3'],maps/g1/tournament.json,[10],[10],['F'],[35.180436682756714],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],[],"[('Group 3', 35.24940752983093)]","{0: [(121.22876061215, 201.562676818303), (125.118676971602, 87.9303049430458), (117.995187148663, 10.1576680465133), (236.311899712194, 3.86731523166501), (385.180901384464, 90.8778947412685), (416.595260598816, 100.790585426522), (422.949444244868, 110.388475663311), (445.03989573552, 107.862178748219), (447.248940884585, 107.60954905671), (662.619288721486, 94.3710386017539)]}","{0: [(123.351636673365, 197.718944500133), (125.295381001426, 76.9514409873371), (117.265167763386, 3.47829075243092), (248.216572907074, 3.90621767958842), (385.180901384464, 90.8778947412685), (416.595260598816, 100.790585426522), (422.949444244868, 110.388475663311), (447.248940884585, 107.60954905671), (447.248940884585, 107.60954905671), (676.866400875265, 93.4952887824539)]}"
5,8.53808E+18,['Group 3'],maps/g1/tournament.json,[10],[10],['F'],[51.17175376852267],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[2],[0],[0],[],"[('Group 3', 5.620043754577637)]","{0: [(119.512834651546, 198.797048677669), (126.93450005133, 72.3286587946038), (117.633796504321, 14.9228228428621), (116.649022330274, 10.4057201951963), (116.649022330274, 10.4057201951963), (230.49816381209, 8.58164529418684), (422.890266849436, 24.5325532038801), (449.969018572685, 37.0617114378228), (466.086798846361, 41.4708144645244), (641.726253482016, 84.9088669893579)]}","{0: [(121.464118116701, 194.676753545436), (127.481538244793, 60.0938493195206), (116.649022330274, 10.4057201951963), (116.649022330274, 10.4057201951963), (116.649022330274, 10.4057201951963), (241.883077960271, 8.39923780408589), (422.890266849436, 24.5325532038801), (449.969018572685, 37.0617114378228), (467.698576873729, 41.9117247671946), (659.129021142844, 89.2085812115742)]}"
1,1.35859E+19,['Group 3'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 3'],"[('Group 3', 0.7375583648681641)]","{0: [(164.858530537578, 232.534862859695), (393.185482533295, 188.213756762871), (425.314477743396, 178.893208421379), (641.722538439496, 93.2565016246363), (697.637269520605, 116.698879036004), (701.096791016965, 119.890163296767)]}","{0: [(171.344383591335, 231.788349145665), (393.185482533295, 188.213756762871), (428.527377264407, 177.96115358723), (663.042054557005, 84.7860364283769), (701.096791016965, 119.890163296767), (700.0024119229053, 120.0202852609843)]}"
2,7.58138E+18,['Group 3'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 3'],"[('Group 3', 0.7959513664245605)]","{0: [(165.215201125356, 235.459246663804), (396.948225862019, 188.141819882547), (453.331982458026, 116.929573255291), (652.86860031963, 127.691570640057), (698.316808858853, 121.260201218687), (700.922647290755, 120.438232056075)]}","{0: [(171.736721237892, 235.005171330185), (396.948225862019, 188.141819882547), (458.970358117627, 109.808348592565), (672.25842453983, 129.479892844807), (700.922647290755, 120.438232056075), (700.0122164003931, 119.97594114851708)]}"
3,3.37352E+18,['Group 3'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],['Group 3'],"[('Group 3', 0.7665643692016602)]","{0: [(170.071525152572, 230.97535056895), (177.078677667829, 230.072885625845), (394.202771730652, 186.061521482131), (431.662918628789, 175.834784051646), (623.295687207554, 95.875381042929), (696.144695849606, 119.699081541861), (701.550729174922, 122.870818884411)]}","{0: [(177.078677667829, 230.072885625845), (177.078677667829, 230.072885625845), (394.202771730652, 186.061521482131), (435.408933318603, 174.812110308597), (642.084362596449, 87.9817081163621), (701.550729174922, 122.870818884411), (699.9641646707279, 120.0199430154212)]}"
4,5.97178E+18,['Group 3'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 3'],"[('Group 3', 0.796741247177124)]","{0: [(172.524339728303, 233.966599256518), (392.419330619298, 176.658029357033), (429.922975732009, 175.632850284913), (625.546645350564, 105.506857152811), (698.80848160671, 117.845419431967), (704.215932181252, 119.779510412132), (699.05209111801, 119.796386873107)]}","{0: [(179.776773701134, 233.36325918217), (392.419330619298, 176.658029357033), (433.673340243281, 175.530332377701), (644.733975861293, 98.5045096303215), (704.215932181252, 119.779510412132), (699.05209111801, 119.796386873107), (699.9991488066182, 120.00388499533416)]}"
5,1.55863E+19,['Group 3'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 3'],"[('Group 3', 0.7458412647247314)]","{0: [(169.47498811787, 235.551280840763), (385.803137567924, 193.965003411505), (426.362594032136, 177.90070876871), (629.533366344254, 90.0180187165842), (694.782959250402, 116.231706903731), (699.315114519245, 119.71616366924)]}","{0: [(176.422486929658, 235.106408924839), (387.458892683549, 193.639662495642), (430.252964166995, 176.326813396016), (649.46140656198, 81.387139248641), (699.315114519245, 119.71616366924), (699.9971727258345, 120.00663866284305)]}"
