trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.40535E+19,['Group 2'],maps/g4/n.json,[10],[10],['F'],[438.8514546487016],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.3806917667389)]","{0: [(174.131060232802, 434.24052924672), (278.787209103386, 240.911884640422), (352.678084919624, 180.50416595277), (412.286330235333, 128.498602911962)]}","{0: [(181.755585933816, 430.599396624517), (288.490371420343, 221.943133442012), (359.096856269552, 176.360269203846), (417.605277631911, 123.712436282774)]}"
2,1.70252E+18,['Group 2'],maps/g4/n.json,[10],[10],['F'],[433.7173340427571],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.1332201957703)]","{0: [(182.630142331945, 437.614363643234), (298.393115875571, 286.872538456615), (366.225184481707, 186.688464117902), (418.131941516146, 131.2688519017)]}","{0: [(191.104576242874, 434.310614460682), (309.121969838841, 272.128730856208), (371.935505945993, 178.144437444071), (422.751585073161, 126.581293347462)]}"
3,9.77209E+18,['Group 2'],maps/g4/n.json,[10],[10],['F'],[430.1842534604489],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.4207916259766)]","{0: [(191.932134500223, 427.007343391266), (297.149847949647, 262.240320916156), (366.523406563368, 166.433910065867), (421.396105433758, 123.441142992658)]}","{0: [(201.33676762798, 422.642892183518), (306.731155981814, 246.200063789419), (372.502631621523, 158.457294693512), (426.285452814981, 119.939527822572)]}"
4,6.48319E+18,['Group 2'],maps/g4/n.json,[10],[10],['F'],[421.9761336301234],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.1611471176147)]","{0: [(181.28266189916, 436.945798929814), (307.325839765274, 248.469965811557), (371.637530942396, 167.54451879479), (429.348644264597, 117.845423429396)]}","{0: [(189.622347766811, 433.57519327592), (319.09618896512, 229.959443065121), (376.891665140124, 161.303026367757), (434.594342177045, 113.49966313556)]}"
5,8.38506E+17,['Group 2'],maps/g4/n.json,[10],[10],['F'],[410.96271026018155],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.5402183532715)]","{0: [(202.307490077416, 437.44279180705), (294.756017411404, 276.582992438705), (380.032271778115, 182.239027280856), (440.562795611579, 112.504554532968)]}","{0: [(212.749658762892, 434.12188544088), (302.956653276255, 260.829103138488), (387.739833628301, 174.380019695093), (445.845091809907, 106.317008016755)]}"
1,1.08099E+19,['Group 2'],maps/g4/n.json,[25],[10],['F'],[485.7915151358776],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.7396695613861)]","{0: [(271.046984593229, 318.953793401746), (365.063823178409, 180.426658949716)]}","{0: [(288.363102730287, 303.783987195046), (372.733895223221, 168.090926125183)]}"
2,9.69938E+17,['Group 2'],maps/g4/n.json,[25],[10],['F'],[488.0738352303103],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.7486052513123)]","{0: [(266.209528701857, 316.511083129857), (363.693194377984, 191.561936509864)]}","{0: [(283.041901249777, 301.097005895968), (371.758323690804, 180.608429571253)]}"
3,1.07246E+19,['Group 2'],maps/g4/n.json,[25],[10],['F'],[489.3307080504662],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.3798797130585)]","{0: [(271.637557190216, 307.465326807804), (362.310827365359, 183.60506408814)]}","{0: [(289.012732586972, 291.146673941709), (369.640636843198, 172.850903102783)]}"
4,2.93432E+18,['Group 2'],maps/g4/n.json,[25],[10],['F'],[311.5795674744764],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.4114565849304)]","{0: [(261.658844229911, 328.089757184045), (354.936013557917, 192.735489740218), (567.438572212121, 272.169020255758)]}","{0: [(278.036148330636, 313.833547355574), (362.626000080645, 180.625683978683), (587.919829425269, 281.323353883466)]}"
5,5.82103E+18,['Group 2'],maps/g4/n.json,[25],[10],['F'],[486.0745129280993],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.2784550189972)]","{0: [(253.961356286786, 328.94573150189), (363.165639596135, 182.162120197217)]}","{0: [(269.568911593199, 314.775119105204), (372.525312396428, 168.900820306418)]}"
1,1.44963E+19,['Group 2'],maps/g4/n.json,[50],[5],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 545.5277848243713)]","{0: [(287.777413760369, 301.612554656619), (554.129737357122, 253.533453151758), (809.457927253111, 152.069945627763), (855.319001634528, 124.056416726081), (857.599190336253, 122.238523739729)]}","{0: [(306.76657481414, 284.708624575406), (578.86605361142, 250.415936009393), (832.51711461728, 142.2353465896), (857.599190336253, 122.238523739729), (856.4693621624041, 123.3182239294959)]}"
2,1.30836E+19,['Group 2'],maps/g4/n.json,[50],[4],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 525.978280544281)]","{0: [(287.414455729826, 301.965952123501), (549.93283332065, 256.660624764767), (808.881046583728, 168.109967961707), (855.82104642529, 124.219465616178)]}","{0: [(306.367320980543, 285.097361788976), (574.289384554661, 253.816951062346), (832.340212786634, 159.539269651643), (856.4375222212739, 123.29216445465053)]}"
3,3.69484E+18,['Group 2'],maps/g4/n.json,[50],[5],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 493.07182598114014)]","{0: [(281.580611083904, 296.213531915765), (544.344439472376, 243.129096000278), (813.824903507582, 164.650462730779), (856.27456748594, 125.060160979058), (858.069123591026, 121.85027653302)]}","{0: [(299.950091870029, 278.769699560466), (568.78387423261, 239.565035644259), (838.32900643508, 157.159005439431), (858.069123591026, 121.85027653302), (856.4554249067139, 123.3035681021339)]}"
4,1.4532E+17,['Group 2'],maps/g4/n.json,[50],[5],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 470.8098518848419)]","{0: [(279.495075336771, 299.506876978659), (541.931928774277, 238.843750103278), (813.67172923151, 169.794318610408), (854.974516758589, 126.996606689996), (856.631673432951, 123.363781183857)]}","{0: [(297.656002548183, 282.39237912965), (566.359521396886, 234.488887200641), (838.402950014973, 163.324861751384), (856.631673432951, 123.363781183857), (856.456793413534, 123.30407600267466)]}"
5,2.75478E+18,['Group 2'],maps/g4/n.json,[50],[5],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 574.1750869750977)]","{0: [(272.794174824931, 313.121089061625), (537.642388074454, 237.604644362438), (800.785261907492, 173.780000457059), (855.273726304629, 124.596940743084), (858.338501382102, 120.257117842682)]}","{0: [(290.285011985158, 297.368012420913), (562.378125683383, 231.62830755659), (824.625975529903, 167.995169747106), (858.338501382102, 120.257117842682), (856.4821565902605, 123.3203317357731)]}"
1,1.76703E+19,['Group 2'],maps/g4/n.json,[100],[10],['F'],[300.13626206092687],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.4793334007263)]","{0: [(311.500995790885, 260.527347347508), (570.089978804659, 265.922447615474)]}","{0: [(332.862515047708, 239.514896535383), (593.812725180354, 268.563202723483)]}"
2,9.77034E+18,['Group 2'],maps/g4/n.json,[100],[5],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 597.9832203388214)]","{0: [(312.037276349281, 257.322233407983), (571.446581432078, 264.465048077811), (842.009372083432, 130.893211732355), (866.685709570866, 117.251270329051), (856.564587529481, 123.224684905635)]}","{0: [(333.452423661943, 235.989271201906), (595.245997209092, 267.312625765401), (866.685709570866, 117.251270329051), (856.564587529481, 123.224684905635), (856.4556546478314, 123.30358308629565)]}"
3,5.40306E+18,['Group 2'],maps/g4/n.json,[100],[5],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 2'],"[('Group 2', 597.078950881958)]","{0: [(309.067298914761, 260.587278629383), (570.428508762395, 265.440745508741), (846.711907249899, 130.16081323552), (871.937816495866, 116.374220762565), (856.00122156177, 123.424893219786)]}","{0: [(330.185448483972, 239.580820945446), (594.452814790237, 268.026737965071), (871.937816495866, 116.374220762565), (856.00122156177, 123.424893219786), (856.4564510440031, 123.3044620948981)]}"
4,1.60783E+19,['Group 2'],maps/g4/n.json,[100],[10],['F'],[14.815996253093159],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.6956522464752)]","{0: [(312.479173906117, 256.643638810034), (574.268505569526, 266.191184701377), (845.3406470079, 131.206840335)]}","{0: [(333.938510974463, 235.242817144163), (598.301505029032, 269.286021457098), (870.044561205787, 117.39892222279)]}"
5,1.80076E+19,['Group 2'],maps/g4/n.json,[100],[10],['F'],[28.606165821774844],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 2', 600.0767900943756)]","{0: [(311.138944820372, 258.428610814415), (570.831830028078, 266.349273410576), (855.96472389419, 125.038136777364)]}","{0: [(332.464258980144, 237.206286348981), (594.668587132871, 269.263572116735), (882.094337570322, 110.615593243427)]}"
1,1.26883E+19,['Group 2'],maps/g3/baseball.json,[10],[8],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[1],[0],[0],['Group 2'],"[('Group 2', 100.48508810997009)]","{0: [(398.946522865487, 298.301479770433), (398.275354109769, 520.139673988592), (398.218772005543, 540.250478612703), (398.062460745535, 648.220785258009), (388.634612129041, 898.04797121149), (400.348785294542, 899.719965868067), (401.614324785997, 897.496863780835), (399.334372389954, 900.49906701366)]}","{0: [(398.841175152035, 319.031627747477), (398.218772005543, 540.250478612703), (398.218772005543, 540.250478612703), (398.046829619535, 659.01781592254), (387.693390379992, 921.950986740385), (401.614324785997, 897.496863780835), (399.334372389954, 900.49906701366), (400.01035914791106, 900.0144498531675)]}"
2,9.36493E+18,['Group 2'],maps/g3/baseball.json,[10],[10],['F'],[12.493118609043696],809,"[400.0, 91.0]","[400.0, 900.0]",[5],[0],[0],[],"[('Group 2', 98.69203090667725)]","{0: [(400.0, 91.0), (400.0, 91.0), (400.0, 91.0), (400.0, 91.0), (400.0, 91.0), (398.048411122468, 286.907394869891), (399.120804588478, 532.195591533037), (401.16942252579, 629.409870975999), (392.749950770746, 857.381155381811), (401.972434373976, 907.173869141876)]}","{0: [(400.0, 91.0), (400.0, 91.0), (400.0, 91.0), (400.0, 91.0), (400.0, 91.0), (397.853252234715, 306.49813435688), (399.247559823854, 554.765337250653), (401.361608795984, 636.874324348534), (392.749950770746, 857.381155381811), (402.894682734299, 912.153140517882)]}"
3,1.74238E+19,['Group 2'],maps/g3/baseball.json,[10],[10],['F'],[26.716343550222902],809,"[400.0, 91.0]","[400.0, 900.0]",[5],[0],[0],[],"[('Group 2', 57.99542450904846)]","{0: [(401.377786720362, 284.849753876182), (398.494229247304, 500.214533169675), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.801538452426, 638.014834217502), (416.616544971752, 833.927900229035), (400.832652588022, 873.296634999289)]}","{0: [(401.515565392398, 304.2347292638), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.192095632795, 519.812513560263), (398.862482734389, 649.835066283226), (416.616544971752, 833.927900229035), (400.832652588022, 873.296634999289)]}"
4,4.91776E+18,['Group 2'],maps/g3/baseball.json,[10],[10],['F'],[609.7119664057977],809,"[400.0, 91.0]","[400.0, 900.0]",[9],[0],[0],[],"[('Group 2', 37.20867991447449)]","{0: [(400.0, 91.0), (395.432434028092, 272.189759430987), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086)]}","{0: [(400.0, 91.0), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086), (394.975677430902, 290.308735374086)]}"
