trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.75438E+19,['Group 6'],maps/g4/n.json,[10],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 6'],"[('Group 6', 49.361932039260864)]","{0: [(260.301013889556, 310.491968452279), (424.874420512343, 125.252908715185), (578.724662684304, 240.641498416121), (769.530345232513, 150.627086187913), (845.58484329245, 138.849719006456), (853.190293098443, 137.67198228831), (856.960838748753, 123.328333422681)]}","{0: [(276.542534956246, 294.475979750632), (439.707609067952, 108.33060161164), (592.626368045939, 253.872588096569), (769.530345232513, 150.627086187913), (853.190293098443, 137.67198228831), (856.960838748753, 123.328333422681), (856.4580727589411, 123.28644726393931)]}"
2,1.27488E+19,['Group 6'],maps/g4/n.json,[10],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 6'],"[('Group 6', 44.355929136276245)]","{0: [(267.656926495973, 338.429123845636), (374.475972412734, 180.284216382967), (560.466432442293, 247.35007726184), (750.875527512118, 210.718170585886), (850.227767024447, 130.537932856787), (860.16299097568, 122.519909083878), (856.241959193964, 123.466115563332)]}","{0: [(284.634038823305, 325.206850683324), (383.460165771677, 165.791952952931), (578.167059109355, 255.505889692731), (750.875527512118, 210.718170585886), (860.16299097568, 122.519909083878), (856.241959193964, 123.466115563332), (856.4557866876946, 123.3038131973899)]}"
3,1.38532E+19,['Group 6'],maps/g4/n.json,[10],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],['Group 6'],"[('Group 6', 40.48377537727356)]","{0: [(97.8858032226563, 470.65185546875), (229.247206749061, 343.616200681671), (363.670820797687, 189.477287367992), (548.937237019403, 236.575995442362), (779.686567174409, 214.094224672454), (845.134857310744, 133.939438152196), (851.679686324377, 125.92395950017), (857.083864578309, 123.322889705953)]}","{0: [(97.8858032226563, 470.65185546875), (242.383347101701, 330.912635202963), (375.799568167286, 175.333752584495), (566.251003904615, 242.700219728149), (779.686567174409, 214.094224672454), (851.679686324377, 125.92395950017), (857.083864578309, 123.322889705953), (856.4564273890247, 123.310815860252)]}"
4,1.69708E+19,['Group 6'],maps/g4/n.json,[10],[10],['F'],[473.42166036578243],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[8],[0],[0],[],"[('Group 6', 38.103288888931274)]","{0: [(253.665751794816, 353.408552619226), (269.243746652032, 341.684222334274), (269.243746652032, 341.684222334274), (373.931844977065, 164.635875339494), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564)]}","{0: [(269.243746652032, 341.684222334274), (269.243746652032, 341.684222334274), (269.243746652032, 341.684222334274), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564), (383.686668042649, 148.13853393564)]}"
5,1.04016E+19,['Group 6'],maps/g4/n.json,[10],[10],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[2],[0],[0],['Group 6'],"[('Group 6', 77.61314392089844)]","{0: [(226.09067073013, 368.074330177212), (238.911157480877, 357.816577648059), (238.911157480877, 357.816577648059), (336.954825098076, 207.113433508823), (543.220030618285, 211.363411338256), (775.417452072719, 191.365883734551), (833.881752027104, 133.915475465795), (839.728182022543, 128.170434638919), (857.974177523771, 123.639059537322), (856.556385948655, 123.236245220696)]}","{0: [(238.911157480877, 357.816577648059), (238.911157480877, 357.816577648059), (238.911157480877, 357.816577648059), (346.759191859796, 192.0431190949), (562.866114494134, 213.295440562592), (775.417452072719, 191.365883734551), (839.728182022543, 128.170434638919), (857.974177523771, 123.639059537322), (856.556385948655, 123.236245220696), (856.4541665919894, 123.3010618973978)]}"
1,8.90594E+18,['Group 6'],maps/g4/n.json,[25],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 6'],"[('Group 6', 76.33058977127075)]","{0: [(254.35331263709, 337.160319855514), (399.501269304716, 135.154020074322), (509.796889962891, 196.488921418112), (728.389152201228, 234.536717234984), (821.6578802584, 167.286044280769), (855.328595974335, 124.174042803156), (857.849449533387, 120.548620906994), (856.487343917088, 123.185713769597)]}","{0: [(270.000063578533, 323.81116629419), (399.855600328413, 134.637831214358), (520.791018926338, 202.674030438487), (737.036079004271, 235.863869440697), (830.120060383813, 160.428261764776), (857.849449533387, 120.548620906994), (856.487343917088, 123.185713769597), (856.4555236225568, 123.30453659332763)]}"
2,1.76022E+19,['Group 6'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 6'],"[('Group 6', 87.80434250831604)]","{0: [(260.411469898312, 336.225989262542), (401.142600488973, 153.620038459225), (571.947767636609, 257.125675126114), (769.756442839191, 161.954633326323), (855.695826334158, 125.161676095358), (864.289764683655, 121.482380372261), (856.06579826515, 123.208792620372)]}","{0: [(276.664036565877, 322.783402641921), (413.590456881283, 136.703702040956), (587.783498712142, 269.16787243463), (769.756442839191, 161.954633326323), (864.289764683655, 121.482380372261), (856.06579826515, 123.208792620372), (856.4565658769412, 123.30471624837055)]}"
3,1.73848E+19,['Group 6'],maps/g4/n.json,[25],[7],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 6'],"[('Group 6', 88.30567669868469)]","{0: [(257.305336155537, 328.680544620183), (404.24430105153, 151.922560091262), (578.661545082272, 263.156874402478), (783.064474179989, 173.341489554871), (851.496985364687, 132.731242286927), (858.340236483157, 128.670217560133), (856.492593437795, 123.553281170858)]}","{0: [(273.247289448825, 314.483413535326), (417.344002211801, 135.666474746856), (594.793299369319, 275.90591436804), (783.064474179989, 173.341489554871), (858.340236483157, 128.670217560133), (856.492593437795, 123.553281170858), (856.4483062421695, 123.30628645014299)]}"
4,1.57627E+19,['Group 6'],maps/g4/n.json,[25],[6],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 6'],"[('Group 6', 88.38422870635986)]","{0: [(267.052731325318, 337.834765698984), (399.235429579699, 151.515228232673), (583.128639660213, 254.894104712602), (784.965596899721, 171.633396795523), (850.494402977402, 125.513597965902), (857.04728358517, 120.901618082939)]}","{0: [(283.969424135585, 324.553056722007), (410.762030124111, 134.21144538374), (600.365300613824, 266.962370645489), (784.965596899721, 171.633396795523), (857.04728358517, 120.901618082939), (856.4348664536968, 123.29927288121951)]}"
5,7.79804E+18,['Group 6'],maps/g4/n.json,[25],[8],['S'],[0.0],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],['Group 6'],"[('Group 6', 78.61677527427673)]","{0: [(262.848020510467, 341.307797844833), (391.902226756193, 148.934045829134), (521.509775119675, 219.514853005637), (533.462129042383, 228.180521150171), (756.639632854165, 212.407030226912), (842.176047702522, 143.69552933071), (850.729689187358, 136.82437924109), (856.555279422969, 122.535909815196)]}","{0: [(279.344242239249, 328.373392082441), (401.986235892591, 132.858171560302), (533.462129042383, 228.180521150171), (533.462129042383, 228.180521150171), (756.639632854165, 212.407030226912), (850.729689187358, 136.82437924109), (856.555279422969, 122.535909815196), (856.4633147855776, 123.30561866543782)]}"
