trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,2.13611E+18,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0622615814209)]",{0: []},{0: []}
2,5.3082E+18,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0623733997345)]",{0: []},{0: []}
3,1.71399E+18,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0752449035645)]",{0: []},{0: []}
4,1.2339E+19,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0613327026367)]",{0: []},{0: []}
5,1.18123E+19,['Group 5'],maps/g1/tournament.json,[10],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0617277622223)]",{0: []},{0: []}
1,5.60882E+18,['Group 5'],maps/g1/tournament.json,[25],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0602650642395)]",{0: []},{0: []}
2,1.0124E+19,['Group 5'],maps/g1/tournament.json,[25],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0626540184021)]",{0: []},{0: []}
3,8.85497E+17,['Group 5'],maps/g1/tournament.json,[25],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0622522830963)]",{0: []},{0: []}
4,2.74916E+18,['Group 5'],maps/g1/tournament.json,[25],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0639152526855)]",{0: []},{0: []}
5,1.17249E+19,['Group 5'],maps/g1/tournament.json,[25],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0679740905762)]",{0: []},{0: []}
1,1.49199E+19,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.064836025238)]",{0: []},{0: []}
2,6.71934E+18,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0653624534607)]",{0: []},{0: []}
3,1.72003E+19,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0599687099457)]",{0: []},{0: []}
4,3.08288E+18,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0651593208313)]",{0: []},{0: []}
5,1.49926E+19,['Group 5'],maps/g1/tournament.json,[50],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0660421848297)]",{0: []},{0: []}
1,1.15531E+19,['Group 5'],maps/g1/tournament.json,[100],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0657124519348)]",{0: []},{0: []}
2,5.70405E+18,['Group 5'],maps/g1/tournament.json,[100],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0624208450317)]",{0: []},{0: []}
3,1.1946E+19,['Group 5'],maps/g1/tournament.json,[100],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0623619556427)]",{0: []},{0: []}
4,9.0933E+18,['Group 5'],maps/g1/tournament.json,[100],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 600.0623512268066)]",{0: []},{0: []}
5,1.24953E+19,['Group 5'],maps/g1/tournament.json,[100],[10],['F'],[611.8823416311342],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 5', 1088.3840198516846)]",{0: []},{0: []}
1,1.11422E+19,['Group 5'],maps/g3/g3_tournament.json,[10],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0704023838043)]",{0: []},{0: []}
2,2.01024E+18,['Group 5'],maps/g3/g3_tournament.json,[10],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0701739788055)]",{0: []},{0: []}
3,7.27743E+18,['Group 5'],maps/g3/g3_tournament.json,[10],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0731699466705)]",{0: []},{0: []}
4,7.2678E+16,['Group 5'],maps/g3/g3_tournament.json,[10],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0685865879059)]",{0: []},{0: []}
5,4.10281E+18,['Group 5'],maps/g3/g3_tournament.json,[10],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0731718540192)]",{0: []},{0: []}
1,6.15364E+18,['Group 5'],maps/g3/g3_tournament.json,[25],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0730464458466)]",{0: []},{0: []}
2,1.77133E+19,['Group 5'],maps/g3/g3_tournament.json,[25],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0727207660675)]",{0: []},{0: []}
3,9.34261E+17,['Group 5'],maps/g3/g3_tournament.json,[25],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0727529525757)]",{0: []},{0: []}
4,6.39508E+15,['Group 5'],maps/g3/g3_tournament.json,[25],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0717613697052)]",{0: []},{0: []}
5,9.4886E+18,['Group 5'],maps/g3/g3_tournament.json,[25],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0714800357819)]",{0: []},{0: []}
1,1.8284E+19,['Group 5'],maps/g3/g3_tournament.json,[50],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.072411775589)]",{0: []},{0: []}
2,1.72297E+19,['Group 5'],maps/g3/g3_tournament.json,[50],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0720171928406)]",{0: []},{0: []}
3,1.60195E+19,['Group 5'],maps/g3/g3_tournament.json,[50],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0722751617432)]",{0: []},{0: []}
4,1.51033E+19,['Group 5'],maps/g3/g3_tournament.json,[50],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0705950260162)]",{0: []},{0: []}
5,1.75671E+19,['Group 5'],maps/g3/g3_tournament.json,[50],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0700957775116)]",{0: []},{0: []}
1,1.72769E+19,['Group 5'],maps/g3/g3_tournament.json,[100],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0712175369263)]",{0: []},{0: []}
2,6.46686E+18,['Group 5'],maps/g3/g3_tournament.json,[100],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 763.4045343399048)]",{0: []},{0: []}
3,9.83307E+18,['Group 5'],maps/g3/g3_tournament.json,[100],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0736200809479)]",{0: []},{0: []}
4,9.37351E+18,['Group 5'],maps/g3/g3_tournament.json,[100],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0727775096893)]",{0: []},{0: []}
5,5.33291E+18,['Group 5'],maps/g3/g3_tournament.json,[100],[10],['F'],[490.593773653601],490.5937737,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 5', 600.0698788166046)]",{0: []},{0: []}
1,1.40887E+19,['Group 5'],maps/g5/tourney.json,[10],[10],['F'],[1039.3079155974883],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[8],[0],[0],[],"[('Group 5', 595.1101851463318)]","{0: [(560.999501963487, 903.590422255587), (567.665380390994, 900.077741528796), (584.650086556099, 872.713693044613), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195)]}","{0: [(567.665380390994, 900.077741528796), (567.665380390994, 900.077741528796), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195), (586.34855717261, 869.977288196195)]}"
2,1.8956E+17,['Group 5'],maps/g5/tourney.json,[10],[10],['F'],[1025.8102814109309],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[7],[0],[0],[],"[('Group 5', 596.8772566318512)]","{0: [(522.944034851732, 887.24013599896), (578.760459933438, 866.678021376264), (586.3024714677, 855.279589600739), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186)]}","{0: [(533.638438336906, 877.964149598856), (578.760459933438, 866.678021376264), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186), (587.056672621126, 854.139746423186)]}"
3,1.42359E+18,['Group 5'],maps/g5/tourney.json,[10],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0434942245483)]",{0: []},{0: []}
4,1.58677E+19,['Group 5'],maps/g5/tourney.json,[10],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0384464263916)]",{0: []},{0: []}
5,7.44855E+18,['Group 5'],maps/g5/tourney.json,[10],[10],['F'],[725.5819088579564],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[3],[0],[0],[],"[('Group 5', 0.9047000408172607)]","{0: [(532.812196632997, 885.686769996354), (574.254610452776, 847.433798738168), (758.496398715029, 729.940046201562), (793.644675069646, 624.570319033009), (779.037430413948, 620.250606760447), (777.225223184832, 620.872332804877), (777.225223184832, 620.872332804877), (628.806378797867, 560.447666056806), (613.964494359171, 554.405199381999), (553.549477003254, 401.086713247854)]}","{0: [(541.246711259034, 878.876810584378), (577.55540037215, 844.289497553547), (758.496398715029, 729.940046201562), (797.159502705108, 614.033346316154), (777.225223184832, 620.872332804877), (777.225223184832, 620.872332804877), (777.225223184832, 620.872332804877), (613.964494359171, 554.405199381999), (613.964494359171, 554.405199381999), (547.507975267662, 385.75486463444)]}"
1,1.09295E+19,['Group 5'],maps/g5/tourney.json,[25],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0357894897461)]",{0: []},{0: []}
2,2.2443E+18,['Group 5'],maps/g5/tourney.json,[25],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0412414073944)]",{0: []},{0: []}
3,1.42482E+19,['Group 5'],maps/g5/tourney.json,[25],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.037989616394)]",{0: []},{0: []}
4,9.60244E+18,['Group 5'],maps/g5/tourney.json,[25],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0398018360138)]",{0: []},{0: []}
5,9.93614E+17,['Group 5'],maps/g5/tourney.json,[25],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0415425300598)]",{0: []},{0: []}
1,6.36709E+18,['Group 5'],maps/g5/tourney.json,[50],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0433962345123)]",{0: []},{0: []}
2,1.43743E+19,['Group 5'],maps/g5/tourney.json,[50],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0398526191711)]",{0: []},{0: []}
3,1.30472E+19,['Group 5'],maps/g5/tourney.json,[50],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0382943153381)]",{0: []},{0: []}
4,1.11368E+17,['Group 5'],maps/g5/tourney.json,[50],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0409913063049)]",{0: []},{0: []}
5,1.58414E+19,['Group 5'],maps/g5/tourney.json,[50],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 619.2971906661987)]",{0: []},{0: []}
1,1.70265E+19,['Group 5'],maps/g5/tourney.json,[100],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.035058259964)]",{0: []},{0: []}
2,1.36405E+19,['Group 5'],maps/g5/tourney.json,[100],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.035138130188)]",{0: []},{0: []}
3,1.22208E+19,['Group 5'],maps/g5/tourney.json,[100],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0429346561432)]",{0: []},{0: []}
4,1.15918E+18,['Group 5'],maps/g5/tourney.json,[100],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0384757518768)]",{0: []},{0: []}
5,8.71512E+18,['Group 5'],maps/g5/tourney.json,[100],[10],['F'],[1228.3260967674667],1228.326097,"[416.0, 980.0]","[1167.0, 8.0]",[0],[1],[0],[],"[('Group 5', 600.0397837162018)]",{0: []},{0: []}
1,1.70597E+19,['Group 5'],maps/g7/g7_final.json,[10],[10],['F'],[738.24115301167],738.241153,"[675.0, 775.0]","[325.0, 125.0]",[0],[1],[0],[],"[('Group 5', 600.0657641887665)]",{0: []},{0: []}
2,9.6579E+17,['Group 5'],maps/g7/g7_final.json,[10],[10],['F'],[738.24115301167],738.241153,"[675.0, 775.0]","[325.0, 125.0]",[0],[1],[0],[],"[('Group 5', 600.0649836063385)]",{0: []},{0: []}
