trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.81928E+19,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0948138237)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.50575E+18,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0859143733978)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.147E+19,['Group 1'],maps/g3/baseball.json,[10],[10],['F'],[9.798392659106787],809,"[400.0, 91.0]","[400.0, 900.0]",[2],[0],[0],[],"[('Group 1', 172.9791615009308)]","{0: [(395.407913404143, 246.546391624954), (394.948704744557, 262.101030787449), (399.57485141248, 335.322735826795), (401.74093927668, 433.364571571671), (401.340347307608, 531.714503431399), (401.283253378727, 540.642299964962), (400.694298188239, 598.195111594432), (399.550247426848, 656.408185465071), (386.098284566583, 856.170788727883), (402.836355675019, 903.923411754204)]}","{0: [(394.948704744557, 262.101030787449), (394.948704744557, 262.101030787449), (400.037466079272, 342.644906330729), (401.911286596421, 442.436538095765), (401.283253378727, 540.642299964962), (401.283253378727, 540.642299964962), (400.635402669191, 603.950392757379), (399.441731902613, 661.65396473584), (386.098284566583, 856.170788727883), (404.510162785863, 908.698674056835)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.83314E+18,['Group 1'],maps/g3/baseball.json,[10],[10],['F'],[319.6223348965746],809,"[400.0, 91.0]","[400.0, 900.0]",[5],[0],[0],[],"[('Group 1', 98.18407726287842)]","{0: [(397.667716016418, 207.613948116109), (402.404751094029, 330.185849001668), (396.939260440553, 430.865645589331), (396.343008740445, 439.824520187358), (399.314152878327, 499.67462604991), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (400.75620094984, 573.586195194156)]}","{0: [(397.43448761806, 219.27534292772), (402.901777441625, 341.276899609063), (396.343008740445, 439.824520187358), (396.343008740445, 439.824520187358), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (399.611267292116, 505.659636636165), (400.870694315612, 580.378851049955)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.10426E+19,['Group 1'],maps/g3/baseball.json,[10],[10],['F'],[0.19589410717000078],809,"[400.0, 91.0]","[400.0, 900.0]",[1],[0],[0],[],"[('Group 1', 160.1093785762787)]","{0: [(400.0, 91.0), (404.750911380449, 246.218652433919), (398.721812076066, 341.502638408743), (397.728016639881, 432.112063759285), (400.288556480977, 505.994303428239), (400.414185694958, 572.814872714916), (399.349794518929, 629.815379274842), (418.675936056424, 832.358039137209), (401.336344484749, 892.406757074278), (399.602385327581, 898.411628867985)]}","{0: [(400.0, 91.0), (405.226002518494, 261.740517677311), (398.071393031823, 349.478850481887), (397.693679000687, 440.375385087024), (400.548044229006, 512.55619526236), (400.400799841553, 578.840740460171), (399.244693986667, 634.912843156309), (418.675936056424, 832.358039137209), (399.602385327581, 898.411628867985), (399.897928867243, 900.167200433856)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.2838E+19,['Group 1'],maps/g3/baseball.json,[10],[10],['F'],[373.52615160983214],809,"[400.0, 91.0]","[400.0, 900.0]",[6],[0],[0],[],"[('Group 1', 104.6398355960846)]","{0: [(400.0, 91.0), (400.0, 91.0), (400.000729763268, 222.096859233471), (400.000802739595, 235.206545156818), (400.000802739595, 235.206545156818), (403.337539110943, 355.491200097019), (403.671212748078, 367.519665591039), (400.527125400128, 444.978194169616), (400.212716665333, 452.724047027474), (402.186778966418, 519.77623835874)]}","{0: [(400.0, 91.0), (400.0, 91.0), (400.000802739595, 235.206545156818), (400.000802739595, 235.206545156818), (400.000802739595, 235.206545156818), (403.671212748078, 367.519665591039), (403.671212748078, 367.519665591039), (400.212716665333, 452.724047027474), (400.212716665333, 452.724047027474), (402.384185196527, 526.481457491867)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.14657E+18,['Group 1'],maps/g3/baseball.json,[10],[10],['F'],[388.60424038326386],809,"[400.0, 91.0]","[400.0, 900.0]",[6],[0],[0],[],"[('Group 1', 99.38837504386902)]","{0: [(404.778875515736, 214.332134838737), (405.25676306731, 226.665348322611), (398.187477536021, 322.512372133037), (397.480548982892, 332.097074514079), (397.480548982892, 332.097074514079), (397.941900872515, 424.217061116519), (398.428583632883, 504.310606509403), (398.472638390024, 511.398761182667), (398.472638390024, 511.398761182667), (398.472638390024, 511.398761182667)]}","{0: [(405.25676306731, 226.665348322611), (405.25676306731, 226.665348322611), (397.480548982892, 332.097074514079), (397.480548982892, 332.097074514079), (397.480548982892, 332.097074514079), (397.988036061477, 433.429059776763), (398.472638390024, 511.398761182667), (398.472638390024, 511.398761182667), (398.472638390024, 511.398761182667), (398.472638390024, 511.398761182667)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0456E+19,['Group 1'],maps/g3/baseball.json,[25],[10],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[3],[0],[0],['Group 1'],"[('Group 1', 305.6523575782776)]","{0: [(400.0, 91.0), (400.750826144808, 315.37321026529), (400.825908759288, 337.810531291819), (397.78078098507, 531.761734203319), (397.476268207648, 551.156854494469), (399.515441631022, 654.482646726467), (402.513676976167, 881.499903032903), (399.7209276939, 899.85823182256), (399.441652765674, 901.694064701526), (399.990000245108, 900.077584272262)]}","{0: [(400.0, 91.0), (400.825908759288, 337.810531291819), (400.825908759288, 337.810531291819), (397.476268207648, 551.156854494469), (397.476268207648, 551.156854494469), (399.719358973359, 664.815225949667), (402.513676976167, 881.499903032903), (399.441652765674, 901.694064701526), (399.990000245108, 900.077584272262), (400.0030825388282, 900.0005233087744)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7.08998E+18,['Group 1'],maps/g3/baseball.json,[25],[8],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[2],[0],[0],['Group 1'],"[('Group 1', 221.87873768806458)]","{0: [(397.833956081226, 290.333218858006), (397.617351689348, 310.266540743807), (397.617351689348, 310.266540743807), (397.651992218678, 492.42523293409), (400.817348164125, 630.104190320299), (404.351102983542, 879.050916461811), (400.309693040007, 899.043600486121), (399.905552045654, 901.042868888553)]}","{0: [(397.617351689348, 310.266540743807), (397.617351689348, 310.266540743807), (397.617351689348, 310.266540743807), (397.655456271611, 510.641102153119), (401.133537353377, 642.050499137017), (404.351102983542, 879.050916461811), (399.905552045654, 901.042868888553), (400.02318655788895, 900.0026220116476)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.63223E+19,['Group 1'],maps/g3/baseball.json,[25],[10],['F'],[0.2591979039990642],809,"[400.0, 91.0]","[400.0, 900.0]",[5],[0],[0],[],"[('Group 1', 313.6750032901764)]","{0: [(402.586062889944, 292.835731965859), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (400.620990783604, 509.123934132556), (400.704758729275, 664.314262325571), (405.862044378548, 892.366266332986), (406.374711585623, 913.815668080768)]}","{0: [(402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (402.844669178938, 313.019305162445), (400.398622944071, 528.734397029568), (400.735372307796, 677.872248855171), (406.374711585623, 913.815668080768), (400.076113535973, 899.752229374059)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
